file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,147,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,22
style.css,148,css,53b4e0a2,Ishaan Kor,2025-01-24,18:13:13,-08:00,2025-01-24T18:13:13-08:00,0,24
style.css,149,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,150,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,151,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,9
style.css,152,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,14
style.css,153,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,11
style.css,154,css,53b4e0a2,Ishaan Kor,2025-01-24,18:13:13,-08:00,2025-01-24T18:13:13-08:00,0,22
style.css,155,css,53b4e0a2,Ishaan Kor,2025-01-24,18:13:13,-08:00,2025-01-24T18:13:13-08:00,0,25
style.css,156,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,157,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,158,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,7
style.css,159,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,19
style.css,160,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,14
style.css,161,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,11
style.css,162,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,22
style.css,163,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,164,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,165,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,10
style.css,166,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,17
style.css,167,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,13
style.css,168,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,59
style.css,169,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,8
style.css,170,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,171,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,172,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,18
style.css,173,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,27
style.css,174,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,16
style.css,175,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,176,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,177,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,13
style.css,178,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,9
style.css,179,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,0
style.css,180,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,0
style.css,181,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,34
style.css,182,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,24
style.css,183,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,35
style.css,184,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,0
style.css,185,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,0
style.css,186,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,19
style.css,187,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,13
style.css,188,css,173d1bbe,Ishaan Kor,2025-02-08,18:05:36,-08:00,2025-02-08T18:05:36-08:00,0,7
style.css,189,css,173d1bbe,Ishaan Kor,2025-02-08,18:05:36,-08:00,2025-02-08T18:05:36-08:00,0,16
style.css,190,css,173d1bbe,Ishaan Kor,2025-02-08,18:05:36,-08:00,2025-02-08T18:05:36-08:00,0,17
style.css,191,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,13
style.css,192,css,173d1bbe,Ishaan Kor,2025-02-08,18:05:36,-08:00,2025-02-08T18:05:36-08:00,0,12
style.css,193,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,19
style.css,194,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,27
style.css,195,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,9
style.css,196,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,15
style.css,197,css,9c8a08ee,Ishaan Kor,2025-02-08,01:06:59,-08:00,2025-02-08T01:06:59-08:00,0,19
style.css,198,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,0
style.css,199,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,0
style.css,200,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,8
style.css,201,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,13
style.css,202,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,58
style.css,203,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,16
style.css,204,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,25
style.css,205,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,19
style.css,206,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,13
style.css,207,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,7
style.css,208,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,9
style.css,209,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,19
style.css,210,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,0
style.css,211,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,0
style.css,212,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,13
style.css,213,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,13
style.css,214,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,19
style.css,215,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,9
style.css,216,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,22
style.css,217,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,0
style.css,218,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,0
style.css,219,css,ad82f1bd,Ishaan Kor,2025-02-08,01:03:10,-08:00,2025-02-08T01:03:10-08:00,0,8
